patient	cluster	entrez	gene	source	subtype	id	name
NP11	0	613	BCR	go	BP	GO:0032496	response to lipopolysaccharide
NP11	0	613	BCR	go	BP	GO:0035023	regulation of Rho protein signal transduction
NP11	0	613	BCR	go	BP	GO:0035556	intracellular signal transduction
NP11	0	613	BCR	go	BP	GO:0042472	inner ear morphogenesis
NP11	0	613	BCR	go	BP	GO:0043114	regulation of vascular permeability
NP11	0	613	BCR	go	BP	GO:0043314	negative regulation of neutrophil degranulation
NP11	0	613	BCR	go	BP	GO:0043547	positive regulation of GTPase activity
NP11	0	613	BCR	go	BP	GO:0046777	protein autophosphorylation
NP11	0	613	BCR	go	BP	GO:0048008	platelet-derived growth factor receptor signaling pathway
NP11	0	613	BCR	go	BP	GO:0050728	negative regulation of inflammatory response
NP11	0	613	BCR	go	BP	GO:0050766	positive regulation of phagocytosis
NP11	0	613	BCR	go	BP	GO:0050885	neuromuscular process controlling balance
NP11	0	613	BCR	go	BP	GO:0051056	regulation of small GTPase mediated signal transduction
NP11	0	613	BCR	go	BP	GO:0051726	regulation of cell cycle
NP11	0	613	BCR	go	BP	GO:0060313	negative regulation of blood vessel remodeling
NP19	0	658	BMPR1B	go	BP	GO:0001501	skeletal system development
NP19	0	658	BMPR1B	go	BP	GO:0001502	cartilage condensation
NP19	0	658	BMPR1B	go	BP	GO:0001550	ovarian cumulus expansion
NP19	0	658	BMPR1B	go	BP	GO:0001654	eye development
NP19	0	658	BMPR1B	go	BP	GO:0002063	chondrocyte development
NP19	0	658	BMPR1B	go	BP	GO:0006468	protein phosphorylation
NP19	0	658	BMPR1B	go	BP	GO:0006954	inflammatory response
NP19	0	658	BMPR1B	go	BP	GO:0009953	dorsal/ventral pattern formation
NP19	0	658	BMPR1B	go	BP	GO:0023014	signal transduction by protein phosphorylation
NP19	0	658	BMPR1B	go	BP	GO:0030166	proteoglycan biosynthetic process
NP19	0	658	BMPR1B	go	BP	GO:0030501	positive regulation of bone mineralization
NP19	0	658	BMPR1B	go	BP	GO:0030509	BMP signaling pathway
NP19	0	658	BMPR1B	go	BP	GO:0031290	retinal ganglion cell axon guidance
NP19	0	658	BMPR1B	go	BP	GO:0032332	positive regulation of chondrocyte differentiation
NP19	0	658	BMPR1B	go	BP	GO:0035108	limb morphogenesis
NP19	0	658	BMPR1B	go	BP	GO:0042698	ovulation cycle
NP19	0	658	BMPR1B	go	BP	GO:0045597	positive regulation of cell differentiation
NP19	0	658	BMPR1B	go	BP	GO:0045669	positive regulation of osteoblast differentiation
NP19	0	658	BMPR1B	go	BP	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
NP19	0	658	BMPR1B	go	BP	GO:0060041	retina development in camera-type eye
NP19	0	658	BMPR1B	go	BP	GO:0060350	endochondral bone morphogenesis
NP19	0	658	BMPR1B	go	BP	GO:0061036	positive regulation of cartilage development
NP19	0	658	BMPR1B	go	BP	GO:0071773	cellular response to BMP stimulus
NP19	0	658	BMPR1B	go	BP	GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
NP19	0	658	BMPR1B	go	BP	GO:1902731	negative regulation of chondrocyte proliferation
NP11	0	758	MPPED1	go	BP	GO:0008150	biological_process
NP11	0	775	CACNA1C	go	BP	GO:0002520	immune system development
NP11	0	775	CACNA1C	go	BP	GO:0007204	positive regulation of cytosolic calcium ion concentration
NP11	0	775	CACNA1C	go	BP	GO:0007507	heart development
NP11	0	775	CACNA1C	go	BP	GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
NP11	0	775	CACNA1C	go	BP	GO:0035115	embryonic forelimb morphogenesis
NP11	0	775	CACNA1C	go	BP	GO:0035585	calcium-mediated signaling using extracellular calcium source
NP11	0	775	CACNA1C	go	BP	GO:0043010	camera-type eye development
NP11	0	775	CACNA1C	go	BP	GO:0050796	regulation of insulin secretion
NP11	0	775	CACNA1C	go	BP	GO:0060402	calcium ion transport into cytosol
NP11	0	775	CACNA1C	go	BP	GO:0061337	cardiac conduction
NP11	0	775	CACNA1C	go	BP	GO:0061577	calcium ion transmembrane transport via high voltage-gated calcium channel
NP11	0	775	CACNA1C	go	BP	GO:0070588	calcium ion transmembrane transport
NP11	0	775	CACNA1C	go	BP	GO:0086002	cardiac muscle cell action potential involved in contraction
NP11	0	775	CACNA1C	go	BP	GO:0086012	membrane depolarization during cardiac muscle cell action potential
NP11	0	775	CACNA1C	go	BP	GO:0086045	membrane depolarization during AV node cell action potential
NP11	0	775	CACNA1C	go	BP	GO:0086064	cell communication by electrical coupling involved in cardiac conduction
NP11	0	775	CACNA1C	go	BP	GO:0086091	regulation of heart rate by cardiac conduction
NP11	0	775	CACNA1C	go	BP	GO:0098911	regulation of ventricular cardiac muscle cell action potential
NP11	0	775	CACNA1C	go	BP	GO:0098912	membrane depolarization during atrial cardiac muscle cell action potential
NP16	0	777	CACNA1E	go	BP	GO:0006810	transport
NP16	0	777	CACNA1E	go	BP	GO:0007268	chemical synaptic transmission
NP16	0	777	CACNA1E	go	BP	GO:0034765	regulation of ion transmembrane transport
NP16	0	777	CACNA1E	go	BP	GO:0050796	regulation of insulin secretion
NP16	0	777	CACNA1E	go	BP	GO:0051899	membrane depolarization
NP16	0	777	CACNA1E	go	BP	GO:0070588	calcium ion transmembrane transport
NP16	0	777	CACNA1E	go	BP	GO:0086010	membrane depolarization during action potential
NP10	1	781	CACNA2D1	go	BP	GO:0006816	calcium ion transport
NP10	1	781	CACNA2D1	go	BP	GO:0051924	regulation of calcium ion transport
NP10	1	781	CACNA2D1	go	BP	GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
NP10	1	781	CACNA2D1	go	BP	GO:0060402	calcium ion transport into cytosol
NP10	1	781	CACNA2D1	go	BP	GO:0061337	cardiac conduction
NP10	1	781	CACNA2D1	go	BP	GO:0061577	calcium ion transmembrane transport via high voltage-gated calcium channel
NP10	1	781	CACNA2D1	go	BP	GO:0086002	cardiac muscle cell action potential involved in contraction
NP10	1	781	CACNA2D1	go	BP	GO:0086012	membrane depolarization during cardiac muscle cell action potential
NP10	1	781	CACNA2D1	go	BP	GO:0086091	regulation of heart rate by cardiac conduction
NP10	1	781	CACNA2D1	go	BP	GO:0098903	regulation of membrane repolarization during action potential
NP10	1	781	CACNA2D1	go	BP	GO:1901843	positive regulation of high voltage-gated calcium channel activity
NP17	0	794	CALB2	go	BP	GO:0051480	regulation of cytosolic calcium ion concentration
NP11	0	799	CALCR	go	BP	GO:0007166	cell surface receptor signaling pathway
NP11	0	799	CALCR	go	BP	GO:0007189	adenylate cyclase-activating G-protein coupled receptor signaling pathway
NP11	0	799	CALCR	go	BP	GO:0015031	protein transport
NP11	0	799	CALCR	go	BP	GO:0030819	positive regulation of cAMP biosynthetic process
NP11	0	799	CALCR	go	BP	GO:0031623	receptor internalization
NP11	0	799	CALCR	go	BP	GO:0045762	positive regulation of adenylate cyclase activity
NP11	0	799	CALCR	go	BP	GO:0051384	response to glucocorticoid
NP11	0	799	CALCR	go	BP	GO:0072659	protein localization to plasma membrane
NP11	0	831	CAST	go	BP	GO:0010951	negative regulation of endopeptidase activity
NP11	0	831	CAST	go	BP	GO:0098609	cell-cell adhesion
NP11	0	831	CAST	go	BP	GO:2000675	negative regulation of type B pancreatic cell apoptotic process
NP11	0	861	RUNX1	go	BP	GO:0001503	ossification
NP11	0	861	RUNX1	go	BP	GO:0002062	chondrocyte differentiation
NP11	0	861	RUNX1	go	BP	GO:0006366	transcription from RNA polymerase II promoter
NP11	0	861	RUNX1	go	BP	GO:0030097	hemopoiesis
NP11	0	861	RUNX1	go	BP	GO:0030854	positive regulation of granulocyte differentiation
NP11	0	861	RUNX1	go	BP	GO:0032743	positive regulation of interleukin-2 production
NP11	0	861	RUNX1	go	BP	GO:0045766	positive regulation of angiogenesis
NP11	0	861	RUNX1	go	BP	GO:0045893	positive regulation of transcription, DNA-templated
NP11	0	861	RUNX1	go	BP	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
NP11	0	861	RUNX1	go	BP	GO:0048935	peripheral nervous system neuron development
NP11	0	861	RUNX1	go	BP	GO:0071425	hematopoietic stem cell proliferation
NP11	0	865	CBFB	go	BP	GO:0000209	protein polyubiquitination
NP11	0	865	CBFB	go	BP	GO:0001649	osteoblast differentiation
NP11	0	865	CBFB	go	BP	GO:0006357	regulation of transcription from RNA polymerase II promoter
NP11	0	865	CBFB	go	BP	GO:0006366	transcription from RNA polymerase II promoter
NP11	0	865	CBFB	go	BP	GO:0030098	lymphocyte differentiation
NP11	0	865	CBFB	go	BP	GO:0030099	myeloid cell differentiation
NP11	0	865	CBFB	go	BP	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
NP11	0	865	CBFB	go	BP	GO:0048469	cell maturation
NP11	0	865	CBFB	go	BP	GO:0060216	definitive hemopoiesis
NP16	0	889	KRIT1	go	BP	GO:0001525	angiogenesis
NP16	0	889	KRIT1	go	BP	GO:0001937	negative regulation of endothelial cell proliferation
NP16	0	889	KRIT1	go	BP	GO:0007264	small GTPase mediated signal transduction
NP16	0	889	KRIT1	go	BP	GO:0010596	negative regulation of endothelial cell migration
NP16	0	889	KRIT1	go	BP	GO:0016525	negative regulation of angiogenesis
NP16	0	889	KRIT1	go	BP	GO:0032092	positive regulation of protein binding
NP16	0	889	KRIT1	go	BP	GO:0045454	cell redox homeostasis
NP16	0	889	KRIT1	go	BP	GO:0050790	regulation of catalytic activity
NP16	0	889	KRIT1	go	BP	GO:2000114	regulation of establishment of cell polarity
NP16	0	889	KRIT1	go	BP	GO:2000352	negative regulation of endothelial cell apoptotic process
NP19	0	931	MS4A1	go	BP	GO:0006959	humoral immune response
NP19	0	931	MS4A1	go	BP	GO:0042100	B cell proliferation
NP11	0	941	CD80	go	BP	GO:0007267	cell-cell signaling
NP11	0	941	CD80	go	BP	GO:0009967	positive regulation of signal transduction
NP11	0	941	CD80	go	BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling
NP11	0	941	CD80	go	BP	GO:0031295	T cell costimulation
NP11	0	941	CD80	go	BP	GO:0035556	intracellular signal transduction
NP11	0	941	CD80	go	BP	GO:0042110	T cell activation
NP11	0	941	CD80	go	BP	GO:0045086	positive regulation of interleukin-2 biosynthetic process
NP11	0	941	CD80	go	BP	GO:0045425	positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process
NP11	0	941	CD80	go	BP	GO:0045627	positive regulation of T-helper 1 cell differentiation
NP11	0	941	CD80	go	BP	GO:0045893	positive regulation of transcription, DNA-templated
NP11	0	941	CD80	go	BP	GO:0046641	positive regulation of alpha-beta T cell proliferation
NP11	0	941	CD80	go	BP	GO:0046718	viral entry into host cell
NP11	0	941	CD80	go	BP	GO:0046854	phosphatidylinositol phosphorylation
NP11	0	941	CD80	go	BP	GO:0048015	phosphatidylinositol-mediated signaling
NP11	0	941	CD80	go	BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
NP11	0	941	CD80	go	BP	GO:0071222	cellular response to lipopolysaccharide
NP11	0	987	LRBA	go	BP	GO:0008150	biological_process
NP11	0	1000	CDH2	go	BP	GO:0007155	cell adhesion
NP11	0	1000	CDH2	go	BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
NP11	0	1000	CDH2	go	BP	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
NP11	0	1000	CDH2	go	BP	GO:0010001	glial cell differentiation
NP11	0	1000	CDH2	go	BP	GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
NP11	0	1000	CDH2	go	BP	GO:0016477	cell migration
NP11	0	1000	CDH2	go	BP	GO:0021987	cerebral cortex development
NP11	0	1000	CDH2	go	BP	GO:0034332	adherens junction organization
NP11	0	1000	CDH2	go	BP	GO:0043410	positive regulation of MAPK cascade
NP11	0	1000	CDH2	go	BP	GO:0044331	cell-cell adhesion mediated by cadherin
NP11	0	1000	CDH2	go	BP	GO:0048514	blood vessel morphogenesis
NP11	0	1000	CDH2	go	BP	GO:0048854	brain morphogenesis
